"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10199","VRC-SRSDNA015-00-VP","SARS","Respiratory","SARS-CoV","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","National Institute of Allergy and Infectious Diseases","2017","USA","18 - 50 years","NA","Intramuscular","NA","SARS CoV spike glycoprotein","NA","NA","NA","NA","NA","33341119","NCT00099463","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7749790/","NA"
"10200","Ad5-EBOV","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","Non-replicating viral vector","Phase 1","National Institute of Health","2010","USA","18 - 50 years","NA","Intramuscular","NA","Ebola virus envelope glycoprotein ","NA","NA","National Institute of Allergy and Infectious Diseases","NA","NA","27764560","NCT00374309","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5287303/","https://www.precisionvaccinations.com/vaccines/ad5-ebov-ebola-vaccine#:~:text=CanSinBio%20Ad5%2DEBOV%20is%20an,type%2D5%20vector%20immune%20response."
"10201","DNA","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","DNA based vaccine","Phase 1","National Institute of Health","2003","USA","18 - 44 years","NA","NA","NA","NA","NA","NA","National Institute of Allergy and Infectious Diseases","NA","NA","27764560","NCT00072605","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5287303/","NA"
"10202","rVSV-EBOV","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","Recombinant viral vector","Phase 1","Merck & Co. Inc.","2014","USA","18 - 65 years","NA","Intramuscular","NA","Zaire Ebola virus glycoprotein","Vesicular Stomatitis Virus based","NA","National Institute of Allergy and Infectious Diseases","NA","NA","27764560","NCT02280408","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5287303/","NA"
"10203","Ebola Chimpanzee Adenovirus Vector Vaccine (cAd3-EBO)/ChAd3-EBO-Z","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","Recombinant viral vector","Phase 1","National Institute of Allergy and Infectious Diseases","2014","USA","18 - 65 years","NA","Intramuscular","NA","Wild type glycoproteins from Zaire and Sudan strains of Ebolavirus","Chimpanzee Adenovirus Vector expressing Zaire and sudan strain glycoprotein","NA","NA","NA","NA","27764560","NCT02231866","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5287303/","NA"
"10204","HPIV3-EBO-Z ( HPIV3-EbovZ GP Vaccine)","Ebola","Hemorrhagic","Zaire ebolavirus","negative-sense, single-stranded RNA","Virus like particle","Phase 1","Center for Immunization Research, Johns Hopkins Bloomberg School of Public Health","2015","USA","18 - 50 years","NA","Intranasal","NA","Zaire Ebola virus glycoprotein","Live-attenuated human Parainfluenza virus type 3 vectored vaccine expressing Ebolavirus Zaire glycoprotein","NA","National Institute of Allergy and Infectious Diseases","NA","NA","27764560","NCT02564575","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5287303/","NA"
"10205","KIRIM-KONGO-VAX","Crimean-Congo haemorrhagic fever","Hemorrhagic","Nairovirus","negative-sense, single-stranded RNA","NA","Phase 1","The Scientific and Technological Research Council of Turkey","2017","Turkey","18 - 55 years","NA","Subcutaneous, Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT03020771","https://clinicaltrials.gov/ct2/show/NCT03020771?cond=Crimean-Congo+hemorrhagic+fever&draw=2&rank=1","https://ichgcp.net/clinical-trials-registry/NCT03020771"
"10206","GEO-EM05","Marburg hemorrhagic fever","Hemorrhagic","Marburg virus","negative-sense, single-stranded RNA","Virus like particle","Phase 1","GeoVax Labs Inc.","NA","USA","NA","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://www.biospace.com/article/geovax-announces-100-percent-protection-data-from-marburg-virus-vaccine-study/","NA"
"10207","AVI-6003","Marburg hemorrhagic fever","Hemorrhagic","Marburg virus","negative-sense, single-stranded RNA","NA","Phase 1","Sarepta Therapeutics Inc.","2012","USA","18 - 55 years","NA","Intravenous","NA","NA","NA","NA","NA","NA","NA","NA","NCT01353040","https://clinicaltrials.gov/ct2/show/NCT01353040?cond=Marburg+hemorrhagic+fever&draw=2&rank=1","NA"
"10208","cAd3 Marburg (VRC-MARADC087-00-VP)","Marburg hemorrhagic fever","Hemorrhagic","Marburg virus","negative-sense, single-stranded RNA","Recombinant viral vector","Phase 1","National Institute of Allergy and Infectious Diseases","2021","USA","18 - 50 years","Single dose","Intramuscular","NA","Marburg wild type glycoprotein","NA","US FDA","US Military HIV Research Program","NA","NA","NA","NCT03475056","https://clinicaltrials.gov/ct2/show/NCT03475056?cond=Marburg+hemorrhagic+fever&draw=2&rank=3","NA"
"10209","XRX-001 Inactivated yellow fever vaccine","Yellow fever","Hemorrhagic","Yellow fever virus","positive-sense, single-stranded RNA","Inactivated","Phase 1","GE Healthcare","2016","USA","18 - 49 years","NA","NA","Aluminum (alum)","Yellow fever virus","NA","NA","NA","NA","NA","NA","NCT00995865","https://clinicaltrials.gov/ct2/show/NCT00995865?recrs=abde&cond=yellow+fever&phase=0123&draw=2&rank=4","NA"
"10210","DENV-1 PIV","Dengue fever","Hemorrhagic","Dengue virus","positive-sense, single-stranded RNA","Inactivated","Phase 1","US Army Medical Research and Development Command","2015","USA","18 - 50 years","2 doses 28 days apart","Intramuscular","NA","Dengue virus serotypes -1","NA","NA","NA","NA","NA","NA","NCT01502735","https://clinicaltrials.gov/ct2/show/NCT01502735?recrs=abde&cond=dengue+fever&phase=0123&draw=2&rank=5","NA"
"10211","rDEN3delta30/31-7164","Dengue fever","Hemorrhagic","Dengue virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","National Institute of Allergy and Infectious Diseases","2013","USA","18 - 50 years","NA","Subcutaneous","NA","Dengue virus serotypes -3","NA","NA","Johns Hopkins Bloomberg School of Public Health","NA","NA","NA","NCT00831012","https://clinicaltrials.gov/ct2/show/NCT00831012?recrs=abde&cond=dengue+fever&phase=0123&draw=2&rank=12","NA"
"10212","MV-LASV (V182-001)","Lassa fever","Hemorrhagic","Lassa virus","negative-sense, single-stranded RNA","Live-attenuated","Phase 1"," Themis Bioscience","2021","Belgium","18 - 55 years","2 doses 28 days apart","Intramuscular","NA","Measles Schwarz virus strain for prophylaxis of Lassa infection","NA","NA","NA","NA","NA","NA","NCT04055454","https://clinicaltrials.gov/ct2/show/NCT04055454?cond=Lassa+fever&draw=2&rank=10","NA"
"10213","GSK HSV Vaccine","Genital Herpes","Cutaneous","Herpes simplex virus ","double stranded DNA","RNA based vaccine","Phase 1","GlaxoSmithKline","2021","UK","18 - 40 years","2 doses at interval of 2 months","Intramuscular","NA","Herpes simplex virus 2 glycoprotein D (gD-2)","mRNA based vaccine","US FDA","NA","NA","NA","NA","NA","https://www.precisionvaccinations.com/vaccines/herpes-vaccine-candidates","https://www.precisionvaccinations.com/vaccines/hsv-2-vaccine-gsk4108771a#:~:text=The%20herpes%20simplex%20virus%20type,genetic%20code%20of%20a%20virus."
"10214","RH-CHIKV EV-CHIKV RHEV-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","NA","NA","NA","NA","Single dose","Footpad injection","NA","R532H-nsP, E515V-nsP2","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10215","Delta 5nsP3 DREP-E MVA-CE","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","NA","NA","NA","NA","Single dose","Subcutaneous","NA","CHIKV nsP3 envelope and capsid protein","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10216","Ad-CHIKV-SG","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","NA","NA","NA","NA","Single dose","Intranasal","NA","CHIKV structural proteins","NA","NA","NA","NA","Ad-CHIKV-E3/E2/6K, Ad-CHIKV-E3/E2/E1","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10217","ChAdOx1-sCHIKV ","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","NA","NA","NA","NA","Single dose","Intramuscular","NA","CHIKV structural proteins","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10218","VSV G-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","NA","NA","NA","NA","Single dose","Intramuscular","NA","CHIKV envelope proteins (E1, E2, and E3)","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10219","dMAb","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","NA","NA","NA","NA","NA","Intramuscular","NA","CHIKV envelope proteins (E1, E2, and E3)","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10220","pCHIKV-7","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 1","NA","NA","NA","NA","NA","NA","NA","cDNA of 181/25","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10221","CHKV-24","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","NA","NA","NA","NA","Single dose","Intravenous","NA","NA","NA","NA","NA","NA","NA","31921059","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6930866/","NA"
"10222","VRC-CHKVLP059-00-VP","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","National Institute of Health","2016","USA","18 - 50 years","10 ug at weeks 0, 4, and 20","Intramuscular","NA","Human HEK293 cells","NA","NA","National Institute of Allergy and Infectious Diseases","NA","NA","NA","NCT01489358","https://clinicaltrials.gov/ct2/show/NCT01489358","NA"
"10223","USAMRIID","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","NA","NA","NA","NA","1- 2 doses depending on volume and age","NA","NA","NA","Formalin inactivated produced in green monkey kidney cells or chick embryonic cells ","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10224","VLP- NIH","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","NA","NA","NA","NA","3 doses","NA","NA","NA","Produced from DNA transfected into human embryonic kidney VRC293","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10225","Measles-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","NA","NA","NA","NA","Single dose","NA","NA","CHIKV proteins","Recombinant measles virus (Schwartz strain) expressing CHIKV VLPs","NA","NA","NA","NA","NA","NA","https://academic.oup.com/jid/article/214/suppl_5/S488/2632628","NA"
"10226","TSI-GSD-218","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10227","CHIKV Delta 5nsP3","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","NA","NA","NA","NA","NA","NA","NA","Clinical strain attenuated by targeted mutations in nsP3, 6 K","NA","NA","NA","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","NA"
"10228","CHIK001","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","University of Oxford","2019","NA","18 - 50 years","NA","NA","NA","Chimpanzee adenovirus expressing CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NCT03590392","https://link.springer.com/chapter/10.1007/82_2019_175","https://clinicaltrials.gov/ct2/show/NCT03590392?cond=Chickungunya+Fever&draw=2&rank=29"
"10229","mRNA-1944","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Moderna Inc.","2021","USA","18 - 50 years","NA","NA","NA","CHIKV-directed monoclonal antibody","NA","US FDA","Defense Advanced Research Projects Agency","NA","NA","NA","NCT03829384","https://link.springer.com/chapter/10.1007/82_2019_175","https://clinicaltrials.gov/ct2/show/NCT03829384"
"10230","mRNA-1388","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Moderna Inc.","2017","USA","18 - 49 years","3 doses on week 0, week 4, post 1 year","Intramuscular","NA","CHIKV structural proteins","mRNA based vaccine","NA","Defense Advanced Research Projects Agency","NA","NA","NA","NA","https://link.springer.com/chapter/10.1007/82_2019_175","https://www.modernatx.com/pipeline/mrna-1388"
"10231","VLA1533","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","Valneva","2019","Austria","18 - 39 years","3 doses on day 0, 28 and 56","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT03010228","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006919","https://clinicaltrials.gov/ct2/show/NCT03010228"
"10232","VAL-181388","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","Moderna Inc.","2017","USA","18 - 49 years","3 doses on week 0, week 4, post 1 year","NA","NA","NA","NA","US FDA","Defense Advanced Research Projects Agency","NA","NA","NA","NCT03325075","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006919","https://clinicaltrials.gov/ct2/show/NCT03325075"
"10233","IRES-CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Live-attenuated","Phase 1","University of Texas Medical Branch, Takeda Pharmaceutical Company Limited","2011","USA","NA","NA","Subcutaneous","NA","La Reunion strain","NA","NA","NA","NA","NA","NA","NA","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006919","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3145802/"
"10234","EILV/CHIKV","Chikungunya fever","Exanthous","Chikungunya virus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","University of Texas Medical Branch","2017","USA","NA","NA","NA","NA","CHIKV structural proteins","NA","NA","NA","NA","NA","NA","NA","https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0006919","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5296253/"
"10235","VXA G1.1 NN","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","Vaxart","NA","USA","NA","NA","Intranasal","NA","HuNoV GII.4","NA","NA","NA","NA","NA","NA","NA","https://www.mdpi.com/2076-393X/9/7/732/htm","NA"
"10236","Monovalent GI.1 VLPs","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","Baylor College of Medicine, University of Maryland School of Medicine","NA","USA","NA","NA","Intranasal","MPL","HuNoV GI.1","NA","NA","NA","NA","NA","NA","NA","https://www.mdpi.com/2076-393X/9/7/732/htm","NA"
"10237","Transgenic plant-based norovirus vaccine","Norovirus Infection","Gastrointestinal","Norovirus","positive-sense, single-stranded RNA","Virus like particle","Phase 1","Arizona State University","NA","USA","NA","NA","Intranasal","Gardiquimod, None when delivered with GelVac","Norwalk virus (GI.1) VLP","Tobacco mosaic virus derived transient expression system using leaves of Nicotiana benthamiana","NA","NA","NA","NA","NA","NA","https://www.cdc.gov/norovirus/downloads/global-burden-report.pdf","NA"
"10238","BG505 mRNA","Acquired Immunodeficiency Syndrome (AIDS)","Other","Human Immunodeficiency Virus ","positive-sense, single-stranded RNA","RNA based vaccine","Phase 1","National Institute of Allergy and Infectious Diseases","2022","USA","18 - 55 years","NA","Intramuscular","NA","BG505 MD39 mRNA","NA","NA","National Institutes of Health","NA","NA","NA","NCT05217641","https://clinicaltrials.gov/ct2/show/NCT05217641","https://www.nih.gov/news-events/news-releases/nih-launches-clinical-trial-three-mrna-hiv-vaccines"
"10239","QazCoVac-P","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Research Institute for Biological Safety Problems","2021","Kazakhstan","18 years and above","2 doses 21 days apart","Intramuscular","Aluminum","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NCT04930003","https://clinicaltrials.gov/show/NCT04930003","NA"
"10240","RBD-HBsAg VLP","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","Serum Institute of India, Accelagen Pty","2021","Australia","18 - 79 years ","2 doses 28 days apart","Intramuscular","CpG 1018, alum","SARS-CoV-2 receptor-binding domain from spike protein","NA","NA","NA","NA","NA","NA","NA","https://anzctr.org.au/Trial/Registration/TrialReview.aspx?ACTRN=12620001308987","NA"
"10241","S-268019","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","ShionogiÂ Inc.","2021","Japan","20 - 64 years","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://jrct.niph.go.jp/en-latest-detail/jRCT2051200092","NA"
"10242","V-01","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Livzon Mabpharm Inc.","2021","China","18 years and above","2 doses 28 days apart","Intramuscular","NA","Recombinant SARS-CoV-2 fusion protein","NA","NA","NA","NA","NA","NA","NA","http://www.chictr.org.cn/showproj.aspx?proj=124702","NA"
"10243","VLA2001 Inactivated SARS-CoV-2 vaccine (Vero cell)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 2","Valneva","2020","Austria","18 - 55 years","2 doses 21 days apart","Intramuscular","CpG 1018, aluminium hydroxide","NA","NA","NA","NA","NA","NA","NA","NCT04671017","https://clinicaltrials.gov/show/NCT04671017","NA"
"10244","HGCO19 (COVID-19 vaccine)","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 2","Gennova Biopharmaceuticals Limited","2020","India","18 years and above","NA","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","mRNA based vaccine","NA","HDT Biotech Corporation","NA","HGCO19 (COVID-19 vaccine)","NA","NA","https://gennova.bio/mrna-vaccines/","https://vaccine.icmr.org.in/covid-19-vaccine"
"10245","SpikoGen","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","CinnaGen Company","2021","Iran","18 years and above","2 doses 21 days apart","Intramuscular","Advax-CpG","Spike protein of SARS-CoV-2 virus","NA","NA","NA","NA","NA","NA","NA","http://en.irct.ir/trial/56287","NA"
"10246","SII B.1.617.2","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Novavax Inc.","2021","Australia","18 - 64 years","2 doses 21 days apart","Intramuscular","Matrix-M1","Bivalent SII vaccine containing antigen for both the ancestral strain and B.1.351 (Beta) variant of SARS-CoV-2 (SII Bivalent)","NA","NA","NA","NA","NA","NA","NCT05029856","https://clinicaltrials.gov/ct2/show/NCT05029856","NA"
"10247","SCB-2020S","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Clover Biopharmaceuticals","2021","Australia","18 - 75 years","2 doses 22 days apart","Intramuscular","AS03, CpG 1018, alum","SARS-CoV-2(B.1.351 variant) trimeric spike protein","NA","NA","NA","NA","NA","NA","NCT04950751","https://www.clinicaltrials.gov/ct2/show/NCT04950751","NA"
"10248","EXG-5003","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 2","Elixirgen Therapeutics Inc.","2021","Japan","20 - 55 years","NA","Intradermal","NA","NA","mRNA based vaccine","NA","NA","NA","NA","NA","NCT04863131","https://clinicaltrials.gov/show/NCT04863131","NA"
"10249","BNT162a1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 2","BioNTech SE, Pfizer Inc.","NA","NA","NA","NA","Intramuscular","NA","SARS-CoV-2 spike protein mRNA encapsulated in a lipid nanoparticle","NA","NA","NA","NA","BNT162b1, BNT162b2, BNT162c2","32585611","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7301105/","NA"
"10250","COVID-19 Vaccine Nasal Spray ","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","Xiamen University","2021","China","18 years and above","2 doses 14 days apart","Intranasal","NA","NA","NA","NA","University of Hong Kong, Beijing Wantai Biological Pharmacy","NA","NA","33937326","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10251","hAd5-COVID-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","ImmunityBio Inc.","2021","USA","18 - 80 years","NA","Subcutaneous","NA","Spike & Nucleocapsid protein","NA","NA","NA","NA","NA","33937326","NCT04843722","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082173/","NA"
"10252","DS-5670a","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 2","Daiichi Sankyo Co. Ltd.","2021","Japan","20 - 74 years","2 doses","Intramuscular","NA","NA","mRNA based vaccine","NA","NA","NA","NA","NA","NCT04821674","https://clinicaltrials.gov/ct2/show/NCT04821674","NA"
"10253","ZyCoV-D","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 2","Cadila Healthcare Ltd","NA","NA","NA","3 doses on day 0, 28 and 56","Intradermal","NA","NA","NA","NA","NA","NA","nCov vaccine","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10254","GX-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","DNA based vaccine","Phase 2","Genexine Consortium","2021","SouthÂ Korea","18 - 55 years","2 doses 28 days apart","Intramuscular","NA","SARS-CoV-2 S-protein antigen including the Nucleocapsid protein antigen","NA","NA","NA","NA","NA","33816047","NCT04715997","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10255","KBP-COVID-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Kentucky Bioprocessing Inc","2021","USA","18 - 85 years","2 doses 21 days apart","Intramuscular","CpG 1018 ","SARS-CoV-2 receptor-binding domain from spike protein","NA","US FDA","NA","NA","NA","33816047","NCT04473690","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10256","KD-414","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 2","KM Biologics Co. Ltd.","2021","Japan","20 years and above","2 doses 27 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://jrct.niph.go.jp/en-latest-detail/jRCT2071200106","NA"
"10257","Vidprevtyn","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 2","Sanofi Pasteur, GlaxoSmithKline","NA","NA","NA","2 doses 21 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","Baculovirus production","NA","NA","NA","VAT00002, VAT00008, SARS-CoV-2 vaccine","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10258","LUNAR-COV19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","RNA based vaccine","Phase 2","Arcturus Therapeutics","2021","Singapore","NA","2 doses 28 days apart","Intramuscular","NA","Self-replicating RNA","mRNA based vaccine","NA","NA","NA","SARS-CoV-2 vaccine, ARCT-021","33816047","NCT05037097","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10259","RBD SARS-CoV-2 HBsAg VLP vaccine","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","Serum Institute of India, Accelagen Pty","NA","NA","NA","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10260","AV-COVID-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","Aivita Biomedical Inc.","2021","USA","18 years and above","Single dose","Intramuscular","GM-CSF","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","NA","33816047","NCT05007496","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://clinicaltrials.gov/ct2/show/NCT05007496"
"10261","MVA-SARS-2-S","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","City of Hope Medical Center, National Cancer Institute","2021","USA","18 years and above","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","COH04S1","33816047","NCT04977024","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10262","hAd5-COVID-19","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 2","ImmunityBio Inc.","2021","USA","18 - 80 years","Single dose","Subcutaneous","NA","Spike & nucleocapsid protein of SARS-CoV-2 virus","NA","US FDA","NA","NA","NA","33816047","NCT04843722","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10263","LV-SMENP-DC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Virus like particle","Phase 2","Shenzhen Geno-Immune Medical Institute","NA","NA","NA","Single dose","Subcutaneous, Intravenous","NA","NA","NA","NA","NA","NA","NA","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
"10264","DelNS1-2019-nCoV-RBD-OPT1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Replicating viral vector","Phase 2","Beijing Wantai Biological","NA","NA","NA","Single dose","Intranasal","NA","NA","NA","NA","Jiangsu Province Centers for Disease Control and Prevention","NA","NA","33816047","NCT04809389","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","https://clinicaltrials.gov/ct2/show/NCT04809389"
"10265","TMV-o38","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Replicating viral vector","Phase 2","Merck & Co. Inc.","NA","NA","NA","2 doses 28 days apart","Intramuscular","NA","NA","NA","NA","Themis, Sharp & Dohme, Institute Pasteur, Univeristy of Pittsburgh","NA","V591-001â€”Measles-vector based","33816047","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8003899/","NA"
